flag,P#,Cond,Student,Major,CS3,Male,Age,@#B,@$B,@#ActuallyCorrect,Income,TaxOnIncome,IncomeMinusTax,Deduction1,Deduction2,SumDeduction,FinalPayment,OverReport,CheatedOnMatrixTax,Deductions
0,65,0,1,Public Policy,3,0,19,12,12,9,12,1.4,10.6,4,2,6,16.6,3,1,6
0,67,0,1,BSBA,1,0,19,19,19,18,19,3.8,15.2,12,12,24,39.2,1,1,24
0,71,0,1,Operations,5,1,25,16,16,16,16,3.2,12.8,1.5,0.7,2.2,15,0,0,2.2
0,74,0,0,HPM,,1,23,16,16,12,16,3.2,12.8,6,0,6,18.8,4,1,6
0,79,0,1,Toxicology,5,0,24,12,12,12,12,2.4,9.6,2,2,4,13.6,0,0,4
0,81,0,0,Communications,5,1,21,11,11,11,11,2.2,8.8,2.5,7.5,10,18.8,0,0,10
0,83,0,1,Political Science,4,0,20,15,15,9,15,3,12,3,1,4,16,6,1,4
0,87,0,1,Philosophy,4,1,21,12,12,10,12,2.4,9.6,2.5,2,4.5,14.1,2,1,4.5
0,89,0,1,Psychology,4,0,21,16,16,13,16,3.2,12.8,3,0,3,15.8,3,1,3
0,93,0,1,Sociology,3,0,20,16,16,13,16,3.2,12.8,4.5,6,10.5,23.3,3,1,10.5
0,96,0,1,Art,4,0,22,8,8,7,8,1.6,6.4,8,8,16,22.4,1,1,16
1,64,0,0,NA,,0,23,8,8,4,8,1.6,6.4,1,0,1,7.4,4,1,1
0,100,0,1,Business,3,1,20,16,16,8,16,3.2,12.8,3,0,3,15.8,8,1,3
0,1,1,1,History of Philosophy,5,1,23,8,8,8,8,1.6,6.4,4,0,4,10.4,0,0,4
0,4,1,1,Business,3,0,20,6,6,5,6,1.2,4.8,2,0,2,6.8,1,1,2
0,6,1,1,Medicine,5,0,24,15,15,15,15,3,12,1.5,2.5,4,16,0,0,4
0,9,1,1,Public Relations,3,0,20,5,5,5,5,1,4,4,3,7,11,0,0,7
0,11,1,1,Psychology,3,1,19,12,12,12,12,2.4,9.6,3,5,8,17.6,0,0,8
0,14,1,1,Business,3,1,20,7,7,6,7,1.4,5.6,1,0,1,6.6,1,1,1
0,16,1,0,,,0,23,15,15,15,15,0.3,14.7,2,0,2,16.7,0,0,2
0,20,1,1,Social Work,5,0,27,9,9,7,9,1.8,7.2,2,2,4,11.2,2,1,4
