"minute","mean_depth","n_click"
491,938.81037,66
492,916.738865333333,87
493,897.469683333333,85
494,884.788374333333,77
495,883.440998333333,84
496,884.695942666667,82
497,880.154747,89
498,879.837987666667,69
499,913.849458333333,72
500,980.144091333333,72
501,995.141928666667,87
502,991.355634,71
503,1010.46187333333,84
504,995.620705666667,53
505,946.702748666667,97
506,936.427434333333,73
507,975.899794,73
508,998.198185,62
509,968.841261333333,91
510,896.974138,54
511,765.500127,72
512,676.115095,50
513,580.690170333333,0
514,463.929352666667,0
515,345.787914333333,0
516,233.292024333333,0
517,130.164910433333,0
518,50.5636226,0
519,1.45308032310667,0
520,-0.0151083160446667,0
521,0.02613335595,0
522,0.016603044279,0
523,-0.021577977098,0
524,-0.0516845470973333,0
525,-0.08754487466,0
526,-0.110452506223333,0
527,-0.100326117012333,0
528,38.6350463442333,0
529,144.263302466667,71
530,241.732678666667,50
531,332.912399666667,92
532,416.765538,93
533,481.794924666667,89
534,535.764447666667,84
535,573.176076,84
536,601.306496666667,94
537,648.700269,79
538,659.766972,88
539,676.202891333333,80
540,724.567599333333,85
541,771.527809666667,77
542,756.469692,90
543,752.860567333333,73
544,771.771458666667,78
545,782.296975333333,73
546,807.962061,83
547,876.188136,64
548,909.210346,94
549,930.873583,73
550,899.941533,92
551,864.767081,96
552,832.473546,89
553,810.362445666667,73
554,816.057091,69
555,823.459612333333,81
556,840.348929666667,85
557,894.328849333333,61
558,957.666668666667,70
559,931.811293333333,84
560,898.666087666667,85
561,872.415684666667,84
562,847.246813333333,71
563,872.989917,79
564,879.661333,69
565,853.302195333333,76
566,832.540337,86
567,799.025761666667,91
568,735.589559,54
569,735.419586333333,67
570,691.531855333333,33
571,591.86759,0
572,482.718201,0
573,375.187435666667,0
574,266.560838,0
575,157.385436333333,0
576,63.9054964333333,0
577,3.48790544263233,0
578,-0.0221840862436667,0
579,0.0352349144329333,0
580,0.027279357545,0
581,-0.008743442359,0
582,-0.044393723622,0
583,-0.09096443878,0
584,-0.101583183686667,0
585,41.9962262019667,0
586,152.590547566667,42
587,255.568404,74
588,347.584502,94
589,429.497980333333,80
590,510.997641666667,96
591,592.002308333333,83
592,672.454314666667,101
593,727.670651666667,83
594,730.256027333333,80
595,724.033919,90
596,744.17742,80
597,759.953239666667,61
598,747.819952,84
599,737.964508333333,94
600,731.621570666667,89
601,723.842636666667,83
602,715.850323333333,92
603,727.884386333333,80
604,755.235078,87
605,784.127284,57
606,783.124449,73
607,806.138231,73
608,847.413042666667,77
609,873.098276,80
610,852.237518333333,79
611,830.180634333333,88
612,809.962299333333,77
613,819.057027333333,77
614,877.142075,76
615,914.053339666667,81
616,875.819338333333,97
617,829.436693666667,87
618,798.040708,85
619,773.242602666667,88
620,758.635830333333,57
621,795.995299666667,74
622,802.998639666667,94
623,817.551706333333,77
624,824.029371666667,89
625,768.185217666667,90
626,714.886038333333,98
627,666.141262,87
628,597.733943,0
629,494.636841666667,0
630,387.256371333333,0
631,284.102250333333,0
632,198.720414,12
633,124.4623074,16
634,55.6209760666667,19
635,2.74972448943667,4
636,-0.034797202728,0
637,0.0199976296546667,0
638,0.0161817081016667,0
639,-0.00365607445078,0
640,-0.0525137913466667,0
641,-0.09407885344,0
642,-0.120247727128667,0
643,1.49372403488667,0
644,55.4721209666667,13
645,133.416131433333,86
646,219.315103666667,68
647,307.819255666667,72
648,393.861956,85
649,460.898694666667,88
650,510.297892333333,87
651,578.883236666667,80
652,664.603087666667,81
653,728.252650333333,85
654,734.762136666667,74
655,749.672884666667,82
656,766.450919666667,78
657,777.131500333333,70
658,763.416957666667,88
659,768.774664666667,79
660,803.271708,82
661,826.348680666667,78
662,839.943274666667,76
663,817.456412,88
664,796.413088666667,80
665,795.397336333333,78
666,804.018340666667,81
667,783.834790333333,94
668,793.347420666667,67
669,853.281837666667,84
670,842.813439,79
671,837.448283666667,75
672,854.196599333333,84
673,852.498074,74
674,805.068363,87
675,778.019683666667,84
676,775.935380333333,73
677,796.383512666667,79
678,799.438419333333,86
679,772.380222,99
680,749.382568666667,79
681,723.976969333333,89
682,688.112025666667,103
683,621.867949,101
684,535.920142,34
685,444.275965333333,0
686,351.591283666667,0
687,260.020443333333,0
688,176.434559,20
689,105.969120933333,18
690,31.9716371654667,2
691,0.0576631638933333,17
692,0.174200463908933,0
693,0.184938129059867,0
694,0.157277743462333,0
695,0.138270005154,0
696,0.110094735876667,0
697,0.0836418082496667,0
698,5.37578258757227,0
699,84.7950647,20
700,191.924381333333,73
701,291.903654333333,93
702,381.383320666667,77
703,456.793173,91
704,518.915244,83
705,568.569319,87
706,605.836119333333,90
707,633.503763333333,88
708,647.895563,90
709,656.876602,98
710,667.052695,84
711,702.455971666667,85
712,758.426963666667,84
713,784.946229666667,85
714,785.690312,76
715,799.813406333333,95
716,782.597991666667,84
717,770.488955666667,81
718,767.398765666667,89
719,778.450301333333,52
720,802.769975666667,82
721,817.607396333333,69
722,833.355476,77
723,857.183595666667,98
724,834.572129666667,77
725,819.860755,80
726,802.305312666667,79
727,793.656275,79
728,800.576318666667,72
729,803.644039333333,86
730,851.425703333333,79
731,927.217340666667,78
732,991.176271,71
733,1003.80513466667,82
734,988.658216333333,70
735,930.939839333333,86
736,902.780657666667,84
737,881.725188,74
738,839.280368,87
739,827.953236666667,83
740,829.074390666667,87
741,785.951276666667,4
742,687.950257,0
743,587.462896666667,0
744,487.266268,0
745,386.477207666667,0
746,286.354318333333,0
747,189.870001666667,0
748,104.273940833333,0
749,42.4194907666667,0
750,2.2388319826601,16
751,0.1721698276193,15
752,0.1923298827,1
753,0.172978292763333,0
754,0.142915782006667,0
755,0.110081700805333,0
756,0.0660256301933333,0
757,0.00780087480633333,0
758,0.00924409843566667,0
759,0.487611669068633,0
760,7.91588729,53
761,11.2558819666667,32
762,10.5689748866667,6
763,10.1990492933333,0
764,9.12379752333333,0
765,10.20583851,0
766,11.4209679,0
767,12.3422475666667,0
768,12.9201977,0
769,10.9859212933333,0
770,8.79649610666667,0
771,10.70673592,0
772,9.57190834666667,0
773,7.90845667333333,0
774,6.92395760333333,0
775,6.42287734666667,0
776,5.94992722666667,0
777,5.19062996,0
778,5.26233844333333,0
779,5.39858040666667,0
780,5.38610999333333,0
781,5.06932073,0
782,5.01751515333333,0
783,5.04747142333333,0
784,4.89366678666667,0
785,4.79020420666667,0
786,4.80077815666667,0
787,4.84635752333333,0
788,5.08603669666667,0
789,4.56823801333333,0
790,3.78981597,0
791,0.789974625726667,0
792,-0.224439825166667,0
793,-0.205918775133333,0
794,-0.20972609303,0
795,-0.221038680163333,0
796,-0.219583570933667,0
797,2.62622295323667,0
798,10.22866162,0
799,8.50229954666667,0
800,6.31646867,0
801,6.08132236666667,0
802,5.81353111,0
803,5.66109906333333,0
804,5.40293305333333,0
805,4.90136536,0
806,3.82178995333333,0
807,4.70850863,0
808,4.58066702333333,0
809,4.55502743666667,0
810,4.93242221666667,0
811,4.67971769666667,0
812,4.57156769666667,0
813,4.62179193666667,0
814,3.89852108,0
815,3.44096481666667,0
816,3.67783192333333,0
817,4.11000705666667,0
818,4.29750573666667,0
819,4.25006289666667,0
820,3.77792686,0
821,3.73644151666667,0
822,5.20266769333333,0
823,4.29757342333333,0
824,4.36714657666667,0
825,4.16354483333333,0
826,4.20867826,0
827,5.33210481,0
828,4.56342045,0
829,4.47220156333333,0
830,4.24146488666667,0
831,4.36989193333333,0
832,4.26885805,0
833,4.37713177666667,0
834,3.99067037333333,0
835,0.01111019829,0
836,-0.19928828658,0
837,-0.157220761048667,0
838,-0.191028520783333,0
839,-0.180033620886667,0
840,-0.2084314389,0
841,-0.194693026813333,0
842,-0.20099766,0
