"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"801","aulait","Nunursus aulaitus","le_mans","1",6,"1",1,6.96,10.69,7.04,3.17,4.75,7.26,1.87,2.63,1.58,0.29,29.9,7,11.53,9.82,0.7,5,2,6,5,5,"0","7",NA,1
"802","orson welles","Nunursus ursus orsonus wellus","le_mans","7",5,"2",3,8.03,7.89,5.57,3.67,4.15,3.74,1.67,1.07,0.89,0.69,20.79,8.23,8.92,7.31,7.2,2,4,4,4,4,"1","1",0.75,NA
"803","Gastelo","Nunursus gasteo jipsus vulgaris","le_mans","9",33,"3",4,38.57,43.98,34.1,16.5,17.53,20.01,10.69,8.57,5.48,2.7,99.25,44.44,48.74,44.95,40.59,4,3,7,5,4,"1","1",0.875,NA
"804","brazoul","Nunursus brazoulus","le_mans","2",23,"2",0,8.47,9.91,9.13,2.77,5.12,5.49,2.35,0.89,0.88,0.62,21.66,8.89,10.56,6.74,6.82,5,1,6,5,4,"1","1",0.75,NA
"805","happy poupi","Nunursus ursus poupilis","le_mans","7",30,"1",1,4.52,5.48,3.83,1.93,2.22,2.77,1.19,0.47,0.57,0.58,7.97,3.59,4.1,2.88,2.62,3,2,3,3,2,"1","1",0.25,NA
"808","ours watson","Nunursus watson","le_mans","9",19,"1",2,11.43,10.43,8.82,4.83,5.59,6.67,2.84,1.05,0.87,0.81,25.23,9.61,12.51,9.28,11.04,5,3,7,5,4,"0","1",0.75,NA
"811","Poupi","Nunursus poupinus","besancon","8",58,"1",4,9.57,10.51,7.7,2.74,3.62,4.87,2.57,1.28,1.04,0.87,18.91,8.41,7.24,8.78,12.34,5,3,4,4,3,"0","2",0.5625,NA
"812","remus","Nunursus remu","le_mans","9",10,"1",1,15.13,15.83,11.78,6.11,7.82,7.03,4.21,3.29,3.58,0.79,34.93,16.73,15.79,16.25,19.66,4,4,4,4,2,"1","2",NA,0.875
"818","Puppy","Nunursus pupinus","besancon","9",21,"2",1,10.85,12.52,12.01,2.93,6.32,6.37,3.77,2.71,2.41,1.16,24.29,11.54,12.63,7.38,9.43,5,3,4,4,5,"1","2",0.5,0.75
"819","Jeje","Nunursus maximus","besancon","9",26,"1",1,25.94,28,28.29,7.52,10.04,12.57,6.52,3.39,2.22,2.36,53.75,15.05,20.14,17.47,26.57,3,3,4,4,2,"1","2",0.4375,NA
