"Day","Activity","obs","age","subj_id"
1,415,129,10,"14323"
1,241,130,10,"14323"
1,0,131,10,"14323"
1,0,132,10,"14323"
1,279,133,10,"14323"
1,148,134,10,"14323"
1,0,135,10,"14323"
1,0,136,10,"14323"
1,817,137,10,"14323"
1,740,138,10,"14323"
1,225,139,10,"14323"
1,0,140,10,"14323"
1,0,141,10,"14323"
1,72,142,10,"14323"
1,113,143,10,"14323"
1,957,144,10,"14323"
1,148,145,10,"14323"
1,287,146,10,"14323"
1,133,147,10,"14323"
1,113,148,10,"14323"
1,333,149,10,"14323"
1,333,150,10,"14323"
1,637,151,10,"14323"
1,509,152,10,"14323"
1,10,153,10,"14323"
1,0,154,10,"14323"
1,548,155,10,"14323"
1,364,156,10,"14323"
1,271,157,10,"14323"
2,10,1,10,"14323"
2,5,2,10,"14323"
2,5,3,10,"14323"
2,0,4,10,"14323"
2,20,5,10,"14323"
2,5,6,10,"14323"
2,128,7,10,"14323"
2,148,8,10,"14323"
2,138,9,10,"14323"
2,77,10,10,"14323"
2,72,11,10,"14323"
2,218,12,10,"14323"
2,77,13,10,"14323"
2,202,14,10,"14323"
2,179,15,10,"14323"
2,195,16,10,"14323"
2,87,17,10,"14323"
2,72,18,10,"14323"
2,87,19,10,"14323"
2,0,20,10,"14323"
2,61,21,10,"14323"
2,287,22,10,"14323"
2,36,23,10,"14323"
2,20,24,10,"14323"
2,10,25,10,"14323"
2,333,26,10,"14323"
2,241,27,10,"14323"
2,256,28,10,"14323"
2,31,29,10,"14323"
2,164,30,10,"14323"
2,195,31,10,"14323"
2,202,32,10,"14323"
2,187,33,10,"14323"
2,333,34,10,"14323"
2,271,35,10,"14323"
2,195,36,10,"14323"
2,225,37,10,"14323"
2,118,38,10,"14323"
2,0,39,10,"14323"
2,248,40,10,"14323"
2,51,41,10,"14323"
2,172,42,10,"14323"
2,51,43,10,"14323"
2,133,44,10,"14323"
2,15,45,10,"14323"
2,123,46,10,"14323"
2,279,47,10,"14323"
2,0,48,10,"14323"
2,195,49,10,"14323"
